Time ms,TimeFrame,seq,left_pts_total,right_pts_total,left_0_x,left_0_y,right_0_x,right_0_y,min_dist_left,min_dist_right
4635.555556,77,7995,1,1,755.782,468.091,672.918,462.328,0.00197586,0.00209165
4695.757576,78,7996,1,1,756.663,468.211,671.724,462.306,0.00188453,0.00202912
4755.959596,79,7997,1,1,758.705,467.969,671.017,461.504,0.00209229,0.00220634
4816.161616,80,7998,1,1,759.244,468.512,669.706,462.144,0.00162036,0.00186708
4876.363636,81,7999,1,1,762.142,466.674,667.631,464.258,0.00194178,0.00180113
4936.565657,82,8000,1,1,763.529,468.075,662.914,461.875,0.00181215,0.00197037
4996.767677,83,8001,1,1,765.675,468.375,657.125,461.694,0.00152573,0.00176452
5056.969697,84,8002,1,1,769.513,468.426,650.651,461.738,0.00181174,0.00175558
5117.171717,85,8003,1,1,773.093,467.991,644.153,463.128,0.00183691,0.0015505
5177.373737,86,8004,1,1,776.19,464.924,635.658,461.482,0.00187639,0.00192797
5237.575758,87,8005,1,1,782.36,464.233,627.077,459.82,0.00181389,0.00186398
5297.777778,88,8006,1,1,784.915,466.339,620.499,459.759,0.00178233,0.00179151
5357.979798,89,8007,1,1,784.91,464.086,619.379,458.599,0.00171036,0.00175605
5418.181818,90,8008,1,1,784.913,465.826,621.263,457.205,0.00161947,0.00191894
5478.383838,91,8009,1,1,784.416,466.365,622.691,458.461,0.00181567,0.00209402
5538.585859,92,8010,1,1,784.364,465.818,624.191,457.982,0.00174452,0.00233904
5598.787879,93,8011,1,1,784.456,461.402,633.607,447.032,0.0026491,0.0050239
5658.989899,94,8012,1,1,780.465,446.709,644.608,416.801,0.0053697,0.0107077
5719.191919,95,8013,1,1,766.251,422.038,649.235,420.021,0.00859986,0.00142514
5779.393939,96,8014,1,1,753.163,404.908,667.661,388.455,0.00835625,0.00913706
5839.59596,97,8015,1,1,748.123,399.977,667.493,398.393,0.00594145,0.00570861
5899.79798,98,8016,1,1,748.704,408.34,668.021,401.145,0.00326715,0.00443398
5960,99,8017,1,1,751.582,410.975,669.403,407.402,0.00306248,0.00299886
6020.20202,100,8018,1,1,750.423,418.578,672.786,410.768,0.00156693,0.0026259
6080.40404,101,8019,1,1,745.87,423.953,674.723,412.947,0.00129817,0.00189312
6140.606061,102,8020,1,1,745.414,423.974,677.876,412.689,0.00120701,0.00182656
6200.808081,103,8021,1,1,745.673,423.269,675.929,410.04,0.00150486,0.00191947
6261.010101,104,8022,1,1,746.796,421.121,676.63,412.659,0.0012916,0.00179241
6321.212121,105,8023,1,1,745.524,421.972,677.182,412.027,0.00148595,0.00204924
6381.414141,106,8024,1,1,748.481,421.256,675.63,410.019,0.00103003,0.00211136
6441.616162,107,8025,1,1,749.911,418.663,673.585,410.278,0.00155005,0.00185676
6501.818182,108,8026,1,1,757.143,410.359,666.248,411.427,0.00237418,0.00233617
6562.020202,109,8027,1,1,758.707,414.479,658.169,409.126,0.0018682,0.00242969
6622.222222,110,8028,1,1,764.172,414.607,647.246,407.69,0.00195657,0.0022413
6682.424242,111,8029,1,1,771.97,412.968,639.215,412.294,0.00194706,0.00157917
6742.626263,112,8030,1,1,781.998,411.637,625.72,408.882,0.00228478,0.00241107
6802.828283,113,8031,1,1,777.498,414.863,622.837,407.091,0.00182414,0.00244034
6863.030303,114,8032,1,1,777.996,415.052,624.452,407.065,0.00161506,0.00261578
6923.232323,115,8033,1,1,781.929,410.035,624.843,404.458,0.00236945,0.00312168
6983.434343,116,8034,1,1,776.652,410.363,628.117,402.645,0.00266469,0.00349762
7043.636364,117,8035,1,1,763.339,406.173,634.302,391.486,0.0011497,0.00486036
7103.838384,118,8036,1,1,758.436,374.364,637.738,368.592,0.0125724,0.0102905
7164.040404,119,8037,1,1,776.454,371.872,636.862,340.401,0.01113,0.0166321
7224.242424,120,8038,1,1,741.179,350.159,638.614,337.968,0.0108239,0.0136292
7284.444444,121,8039,1,1,726.045,354.233,642.392,350.573,0.00474055,0.00708947
7344.646465,122,8040,1,1,721.627,381.855,641.308,362.726,0.00115038,0.00322949
7404.848485,123,8041,1,1,736.365,375.689,633.274,365.053,0.00214597,0.00340192
7465.050505,124,8042,1,1,738.42,376.299,633.463,365.469,0.0018124,0.00340192
7525.252525,125,8043,1,1,739.161,378.872,635.324,367.888,0.00149636,0.00278511
7585.454545,126,8044,1,1,744.873,374.386,633.384,368.523,0.00164554,0.00255051
7645.656566,127,8045,1,1,746.351,375.281,631.108,368.995,0.00162244,0.00223886
7705.858586,128,8046,1,1,752.129,374.07,625.339,368.847,0.0016245,0.00245599
7766.060606,129,8047,1,1,763.165,386.558,610.318,368.17,0.00107831,0.0027216
7826.262626,130,8048,1,1,770.552,379.355,603.576,366.79,0.00167084,0.00271396
7886.464646,131,8049,1,1,782.142,374.007,597.14,366.143,0.00253987,0.00278757
7946.666667,132,8050,1,1,786.556,367.693,598.602,366.305,0.00329131,0.00327635
8006.868687,133,8051,1,1,775.383,379.998,609.274,360.835,0.00216706,0.00467897
8067.070707,134,8052,1,1,769.211,354.66,608.227,335.099,0.008381,0.0129118
8127.272727,135,8053,1,1,749.078,330.665,603.42,317.519,0.0175163,0.025403
